date,speaker,note,project,action_item,deadline
2025-03-28,Jordan,[Project: AI assistant integration] Jordan agreed on implementing the ai assistant integration. Camille added comments. Next steps: Set up Airflow DAGs. Deadline: Friday.,AI assistant integration,Set up Airflow DAGs,Friday
2025-04-04,Jordan,[Project: Internal documentation cleanup] Jordan raised concerns about the internal documentation cleanup. Nina added comments. Next steps: Test Gemini with internal queries. Deadline: Friday.,Internal documentation cleanup,Test Gemini with internal queries,Friday
2025-03-24,Jordan,[Project: Data pipeline improvement] Jordan highlighted the need for the data pipeline improvement. Anaïs added comments. Next steps: Organize guild workshop. Deadline: Monday.,Data pipeline improvement,Organize guild workshop,Monday
2025-02-13,Omar,[Project: Knowledge sharing guilds] Omar highlighted the need for the knowledge sharing guilds. Nina added comments. Next steps: Summarize feedback for product. Deadline: Thursday.,Knowledge sharing guilds,Summarize feedback for product,Thursday
2025-03-27,Anaïs,[Project: Dashboard redesign] Anaïs requested a report on the dashboard redesign. Théo added comments. Next steps: Summarize feedback for product. Deadline: Thursday.,Dashboard redesign,Summarize feedback for product,Thursday
2025-03-30,Louis,[Project: Malty AI latency issue] Louis raised concerns about the malty ai latency issue. Jordan added comments. Next steps: Run dbt models in staging. Deadline: Sunday.,Malty AI latency issue,Run dbt models in staging,Sunday
2025-03-02,Mélanie,[Project: Malty AI latency issue] Mélanie agreed on implementing the malty ai latency issue. Anaïs added comments. Next steps: Review latency logs. Deadline: Sunday.,Malty AI latency issue,Review latency logs,Sunday
2025-02-28,Jordan,[Project: Knowledge sharing guilds] Jordan raised concerns about the knowledge sharing guilds. Mélanie added comments. Next steps: Share documentation with the team. Deadline: Friday.,Knowledge sharing guilds,Share documentation with the team,Friday
2025-03-31,Louis,[Project: Freelancer matching algorithm] Louis suggested creating the freelancer matching algorithm. Camille added comments. Next steps: Summarize feedback for product. Deadline: Monday.,Freelancer matching algorithm,Summarize feedback for product,Monday
2025-02-24,Louis,[Project: Freelancer matching algorithm] Louis requested a report on the freelancer matching algorithm. Mélanie added comments. Next steps: Review latency logs. Deadline: Monday.,Freelancer matching algorithm,Review latency logs,Monday
2025-02-22,Mélanie,[Project: Dashboard redesign] Mélanie scheduled a follow-up for the dashboard redesign. Théo added comments. Next steps: Set up Airflow DAGs. Deadline: Saturday.,Dashboard redesign,Set up Airflow DAGs,Saturday
2025-03-07,Camille,[Project: Freelancer matching algorithm] Camille proposed a new approach for the freelancer matching algorithm. Louis added comments. Next steps: Redesign UI mockups. Deadline: Friday.,Freelancer matching algorithm,Redesign UI mockups,Friday
